Neptunkód;Hiányzó feladatok száma;Kész feladatok száma;Határidőre kész feladat;Pontszám;W1;W2;W3;W4;W5;W6;W7;W8;W9;W10;W11;W12
J3ECGG;0;12;8;12;0;0;1,5;1,5;0;1,5;1,5;1,5;0;1,5;1,5;1,5;
LQQ0PG;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
USMGCX;0;12;11;16,5;1,5;1,5;1,5;1,5;1,5;0;1,5;1,5;1,5;1,5;1,5;1,5;
D0JE27;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
K42WZB;0;12;11;16,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
FPJ6CL;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
L5EMZK;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
HGBV3A;0;12;5;7,5;0;0;0;0;0;1,5;1,5;1,5;0;1,5;0;1,5;
ANKLXW;11;1;1;1,5;1,5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;
VSQAC0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
JDB6CI;0;12;11;16,5;0;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
ZZ55TQ;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
JGXTDM;0;12;7;10,5;0;1,5;1,5;0;0;0;1,5;1,5;0;1,5;1,5;1,5;
NOVZR1;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
YKSOX5;0;12;6;9;0;0;0;0;1,5;1,5;1,5;0;0;1,5;1,5;1,5;
QJ6LI7;0;12;12;18;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;1,5;
